YEAR,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1938,1821,0,1607,1529,14723,1632,3598,581,573,809,1913,0,522,13156,917,1317,4673,2773,1139,2476,2440,5511,13254,1873,0,1946,2280,523,0,118,10439,1428,23366,14397,1388,8079,1734,1203,13416,1347,3286,734,2046,9769,2508,2419,3773,4307,2943,12618,545
1939,1957,0,1016,918,8219,2005,3961,755,1475,1108,1559,0,203,13263,2359,1023,1535,1841,1134,2375,2260,7174,9716,2216,0,1270,730,525,0,139,13031,1495,21543,10431,863,8631,410,1061,17129,2158,2825,259,2236,5433,3157,2980,3304,1539,1466,10820,464
1940,1235,0,892,811,12668,1251,3072,609,755,669,1114,0,392,8388,1672,1083,2145,3058,924,1728,4842,7943,10991,2367,0,1486,232,446,5,279,7913,1380,19125,7011,678,11045,573,1056,20160,849,1610,182,2118,8214,3972,1377,3084,2026,1843,7070,207
1941,1548,0,1156,1109,18819,4678,2707,262,703,742,1243,0,595,7458,1180,1624,4749,3394,389,1153,3526,9289,14931,3430,0,1765,990,666,238,455,6579,1108,17372,10036,865,14616,1071,1063,14640,1126,4625,584,2555,10555,2733,621,4081,4576,2225,8886,371
1942,1627,0,1052,914,11869,1783,3831,152,890,796,1270,0,249,10902,1856,1235,2449,2938,316,1842,3063,10260,11117,2355,0,825,955,448,177,281,11362,981,20495,5706,521,10060,539,1025,12752,1494,2827,230,1908,7669,1459,2046,2528,2864,1360,10234,331
1943,2023,0,908,1430,12470,1546,2033,205,1087,1043,1601,0,152,7718,2325,1684,2814,2236,321,1763,4351,6274,11726,3292,0,1239,1001,600,100,222,7937,581,15094,7992,782,8424,836,1283,11862,1554,3125,289,2894,15901,2278,1158,4770,2275,2383,11048,205
1944,1296,0,945,956,5374,1504,2109,80,264,986,748,0,210,3627,914,585,1732,2538,139,935,3143,4101,4766,1638,0,920,762,567,81,111,3477,217,8756,6489,445,5886,418,785,5635,633,3340,368,1386,9990,1785,1184,2867,1492,1353,5046,363
1945,1064,0,848,669,11067,1670,2327,95,385,551,827,0,363,3789,1036,290,1497,1941,285,1961,2729,6675,4824,880,0,874,399,227,47,211,6654,353,12761,5758,123,7328,644,737,8667,859,3478,161,1402,10063,1279,1350,2764,1261,1135,3341,204
1946,1044,0,689,484,3952,1043,2163,185,365,1009,570,0,477,5341,1163,1007,1096,1291,293,834,1382,6347,7349,509,0,652,202,188,21,193,6962,525,8931,3449,51,4266,461,805,6400,1300,2035,39,1199,8332,740,918,3001,1453,1195,6983,248
1947,2249,0,1142,1622,8127,2041,2884,212,606,1813,1274,0,524,4782,2252,1124,1714,1563,474,999,3886,6857,9720,2533,340,1460,530,649,11,135,7990,811,9751,2983,383,9798,1044,710,9289,980,4181,151,1826,20636,575,1172,4066,1459,984,7597,218
